,longitude,latitude,usage
Pershing Square North,-73.977706,40.751873,300189
E 17 St & Broadway,-73.99009296,40.73704984,222219
W 21 St & 6 Ave,-73.99415556,40.74173969,215801
Broadway & E 22 St,-73.98955109,40.7403432,214752
West St & Chambers St,-74.01322069,40.71754834,193889
Broadway & E 14 St,-73.99074142,40.73454567,186960
W 41 St & 8 Ave,-73.9900262,40.75640548,176097
8 Ave & W 33 St,-73.993934,40.751551,170583
Broadway & W 60 St,-73.98191841,40.76915505,168326
12 Ave & W 40 St,-74.00277668,40.76087502,167477
Lafayette St & E 8 St,-73.99102628231049,40.73020660529954,167148
Carmine St & 6 Ave,-74.00214988,40.73038599,162822
8 Ave & W 31 St,-73.9946848154068,40.7505853470215,161769
Central Park S & 6 Ave,-73.97634151,40.76590936,157903
Christopher St & Greenwich St,-74.00711384,40.73291553,156645
W 33 St & 7 Ave,-73.99093085,40.75019995,154690
W 20 St & 11 Ave,-74.007756,40.746745,154533
Great Jones St,-73.99379025,40.72743423,154083
South End Ave & Liberty St,-74.015756,40.711512,154065
University Pl & E 14 St,-73.99200509,40.73492695,153289
6 Ave & W 33 St,-73.98848395,40.74901271,151212
W 31 St & 7 Ave,-73.9916,40.749156,150517
Broadway & W 25 St,-73.98918628692627,40.74286877312112,149804
E 47 St & Park Ave,-73.97498696,40.75510267,149185
Cooper Square & Astor Pl,-73.99075269699097,40.72951496224949,146594
Cleveland Pl & Spring St,-73.99724900722504,40.722103786686034,145547
W 18 St & 6 Ave,-73.99456405,40.73971301,144814
Centre St & Chambers St,-74.0046073,40.71273266,141113
W 38 St & 8 Ave,-73.99138152,40.75466591,137533
E 10 St & Avenue A,-73.98142006,40.72740794,137358
1 Ave & E 16 St,-73.98165557,40.73221853,136173
Grand St & Elizabeth St,-73.99596,40.718822,135055
Broadway & W 41 St,-73.98658032,40.75513557,134505
E 24 St & Park Ave S,-73.98602213,40.74096374,131440
Vesey Pl & River Terrace,-74.01658354,40.7153379,130031
W 24 St & 7 Ave,-73.99529885,40.74487634,128335
W 16 St & 8 Ave,-74.001384973526,40.74102150900266,126618
W 22 St & 10 Ave,-74.00451887,40.74691959,124828
Broadway & W 49 St,-73.9845272898674,40.76068327096592,124491
W 15 St & 7 Ave,-73.99931783,40.73935542,124167
Broadway & W 58 St,-73.98169333,40.76695317,123567
MacDougal St & Prince St,-74.00297088,40.72710258,123088
W 22 St & 8 Ave,-73.99915362,40.74475148,122249
Barrow St & Hudson St,-74.00674436,40.73172428,122059
E 7 St & Avenue A,-73.98379855,40.72621788,121451
9 Ave & W 22 St,-74.00197139,40.7454973,121412
Lafayette St & Jersey St,-73.99600982666016,40.72430527250332,120326
E 32 St & Park Ave,-73.98194829,40.7457121,119871
Washington St & Gansevoort St,-74.008119,40.739323,119745
Broadway & W 29 St,-73.98855723,40.7462009,118971
9 Ave & W 45 St,-73.9912551,40.76019252,116634
W 27 St & 7 Ave,-73.993915,40.746647,116482
11 Ave & W 27 St,-74.005226,40.751396,116456
E 16 St & 5 Ave,-73.99238967,40.73726186,116144
E 12 St & 3 Ave,-73.98889957,40.73223272,114444
W 26 St & 8 Ave,-73.99723551,40.74734825,114311
Broadway & W 32 St,-73.98808416,40.74854862,113473
Mercer St & Bleecker St,-73.99662137031554,40.72706363348306,112643
W 25 St & 6 Ave,-73.99144871,40.74395411,112243
W 49 St & 8 Ave,-73.98788205,40.76227205,109766
E 11 St & 2 Ave,-73.98672378,40.73047309,109051
E 48 St & 5 Ave,-73.97805914282799,40.75724567911726,108937
E 23 St & 1 Ave,-73.97809472,40.736502,107992
Pier 40 - Hudson River Park,-74.01129573583603,40.7277140777778,107514
E 39 St & 2 Ave,-73.9734419,40.74780373,107048
E 15 St & 3 Ave,-73.986923,40.734232,106966
Greenwich St & W Houston St,-74.008591,40.728846,106636
Sullivan St & Washington Sq,-73.99906065,40.73047747,106164
W 27 St & 10 Ave,-74.00218427181244,40.75018156325683,106040
Pershing Square South,-73.97791,40.751581,105958
E 25 St & 2 Ave,-73.97973776,40.73912601,105765
St Marks Pl & 2 Ave,-73.98713956,40.7284186,105370
Allen St & Stanton St,-73.989111,40.722055,105034
Mott St & Prince St,-73.99480012,40.72317958,104665
E 13 St & Avenue A,-73.98067966103554,40.72966729392978,103700
E 20 St & FDR Drive,-73.97573881,40.73314259,103280
Broadway & W 56 St,-73.98192338,40.7652654,102764
Canal St & Rutgers St,-73.98990025,40.71427487,102347
W 52 St & 6 Ave,-73.97982001304626,40.76132983124814,102028
St Marks Pl & 1 Ave,-73.98564945,40.72779126,101387
E 2 St & 2 Ave,-73.99069656,40.72502876,100131
Lexington Ave & E 24 St,-73.98409214,40.74025878,99729
Little West St & 1 Pl,-74.01677685,40.70569254,99573
E 20 St & 2 Ave,-73.98205027,40.73587678,99416
Forsyth St & Broome St,-73.99266288,40.71893904,98838
W 4 St & 7 Ave S,-74.00293877,40.73401143,97673
Greenwich Ave & Charles St,-74.000271,40.735238,96716
1 Ave & E 18 St,-73.98054420948029,40.73381219196632,96370
Allen St & Rivington St,-73.98997825,40.72019576,96036
Broadway & Battery Pl,-74.01361706,40.70463334,95628
South St & Gouverneur Ln,-74.00670227,40.70355377,95518
Lexington Ave & E 29 St,-73.98215353488922,40.74311555376486,94852
2 Ave & E 31 St,-73.97706058,40.74290902,94759
E 11 St & 1 Ave,-73.98426726,40.72953837,93966
11 Ave & W 41 St,-73.99884222,40.76030096,93366
Stanton St & Chrystie St,-73.99147535,40.72229346,93338
