time,count0,count1,count2,count3,count4,count5,count6,count7,count8,count9,count10,count11,total
0,3167,2689,5576,8984,19880,23465,20512,23774,24998,22566,10832,8661,175104
1,2148,1905,3205,5153,11172,17364,17035,18425,18487,18049,8992,6308,128243
2,1186,1138,1930,3332,7209,12982,13610,14571,13964,13409,5384,4066,92781
3,832,671,1280,1736,4234,7783,9280,9409,8787,8364,3520,2312,58208
4,592,421,744,1059,2323,5080,5703,5782,5315,4968,2431,1531,35949
5,810,581,907,1191,2317,3585,3782,3554,3422,2970,1801,1302,26222
6,2478,1809,2703,3305,5680,6871,6663,6703,6695,6547,4138,2730,56322
7,4437,2958,5082,6173,10436,12456,11663,11944,12433,12454,8080,5410,103526
8,8025,5151,8941,11380,17937,21382,20020,19929,21678,22961,14784,9323,181511
9,12832,7545,14167,18036,29069,33255,30905,31377,34251,36748,24016,14700,286901
10,17960,10612,20703,27149,41592,47063,44132,43652,48217,51209,33154,21087,406530
11,24278,13160,27758,36525,53597,57181,55527,54904,59271,64048,40201,26720,513170
12,30009,15600,34138,43527,59863,62793,62860,61110,66840,72588,44891,31633,585852
13,33154,15965,38908,48113,63309,65570,66390,62289,69505,73460,44836,33150,614649
14,34381,16693,40942,51558,65932,67977,66613,61842,70573,76906,40905,35257,629579
15,33305,17457,41365,51826,64207,62530,65328,62655,71678,78055,40673,35768,624847
16,29114,16709,39101,49208,61652,63417,66802,63372,72100,77661,39278,31768,610182
17,21955,15475,34555,46210,57650,63605,68389,61503,68940,70548,32736,25069,566635
18,17036,12103,27950,40478,53052,61173,69609,54599,64513,60594,27078,22025,510210
19,12699,9113,19227,31299,46412,54483,59809,45233,52520,46558,22565,17814,417732
20,9028,6295,11268,19937,33206,42954,44548,30183,37277,33217,16696,12988,297597
21,6381,4428,8094,14141,24820,32074,31425,23174,30139,25328,13384,9859,223247
22,5445,4104,6762,11516,20297,26245,27774,21031,25665,21342,11305,8426,189912
23,4017,3243,6384,10307,16277,22400,22157,18686,22699,17988,9672,7628,161458
