time,count0,count1,count2,count3,count4,count5,count6,count7,count8,count9,count10,count11,total
0,1540,1059,1712,3209,5319,5820,7460,6942,7727,6876,4990,5047,57701
1,832,534,768,1444,2601,2815,3618,3296,3468,3430,2489,2816,28111
2,587,245,398,718,1374,1408,1914,1651,1877,1712,1394,1390,14668
3,329,164,278,442,884,818,1092,966,1084,965,821,852,8695
4,459,262,437,602,943,939,1262,1165,1313,1364,1174,1149,11069
5,2071,1242,2018,3110,4274,4897,5573,4845,5603,5837,5017,4304,48791
6,7779,4171,8130,13226,18032,20315,22929,20977,24740,24374,21165,16691,202529
7,14258,8440,16001,26955,36742,41114,44929,41787,52369,53889,46830,37255,420569
8,23697,15337,29900,46589,62890,71239,77715,76007,92165,99525,79678,67578,742320
9,16926,11901,23276,35580,46587,52508,59063,56994,67392,71695,56825,47878,546625
10,8990,6320,12113,19913,28705,28188,33202,31550,40425,39553,31548,27070,307577
11,8326,5527,11002,18537,27926,27133,31980,30642,39375,36942,29940,25490,292820
12,10073,6313,12758,21755,33087,32220,37178,36463,45478,43430,35313,29857,343925
13,10604,6922,12952,22502,35396,34090,38310,38194,47384,44740,37248,31664,360006
14,11576,7506,13494,24377,37143,34996,39124,39041,49358,47605,39849,34324,378393
15,12213,8139,14016,25582,38972,37388,43621,42323,53201,50827,43354,35529,405165
16,15868,10768,17995,33557,49212,48476,54885,54700,67251,63183,50092,41464,507451
17,24096,17444,30887,54745,74689,76741,87700,88735,103689,97039,72932,58587,787284
18,22954,16166,30084,52901,71221,75887,89297,89894,101377,89432,68074,57137,764424
19,14779,10493,18096,34369,48778,52314,64717,64429,69332,57649,45177,36570,516703
20,9324,6737,10795,21244,30318,36323,43368,42008,44753,37929,30114,24187,337100
21,6139,4855,7432,14538,20823,24393,29108,28841,32166,27166,21543,17564,234568
22,4650,3325,5019,10746,16066,18218,22448,22189,22909,20145,15930,13235,174880
23,2912,2223,3207,6673,11020,12126,15218,14358,15286,13335,10271,9329,115958
